image_id,sequence,sha256,width,height,original_name,docx_media_path,extracted_path,previous_text,next_text,nearest_heading
nb_img_046,46,4b0f2cb3a080b4dfd635ab4e425970db4ac696b48950891f2a61e2546c75c18b,814,440,image50.jpg,word/media/image50.jpg,_work/correction/extract/notebook_images/notebook_img_046_image50.jpg,"Boru hatları ile istasyonlara taşındı. Arabalara, hidrojeni buralardan dolduruyoruz. 2021 itibari ile 685 adet dolum ist. var. [38]Ülkemizde henüz yok.Boru hatları ile istasyonlara taşındı. Arabalara, hidrojeni buralardan dolduruyoruz. 202…",İŞ YAPRAĞI,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_047,47,139e5b0a29be2f75bcc8c2352a4bcb264755b5e53569ec8cf9896f7366ebf4d6,1098,577,image48.jpg,word/media/image48.jpg,_work/correction/extract/notebook_images/notebook_img_047_image48.jpg,"Ancak, Enerji Bakanlığı’nın bir raporunda [2], hidrojen harici diğer enerji kaynaklarından üretilen enerji kayıplarının grafiğinde, kayıp oranını %80 olduğu yazıyor. Bu kayıp oranı, hidrojenden daha verimsiz olduğunu gösteriyor olabilir.",.,"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_048,48,25d8a0f297d3b28360c28b55c88cce8c3e8cc7185440440f35ff28db7b9d4ce9,631,429,image49.png,word/media/image49.png,_work/correction/extract/notebook_images/notebook_img_048_image49.png,"Enerji ihtiyacımızı sadece yenilebilir enerji kaynaklarından elde etmek istiyorsak, mutlaka depolayabilmemiz gerekir. Peki neden?","Grafiğe [25] baktığımızda; Talebi, günün bazı saatlerinde karşılayamıyoruz.","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_049,49,25d8a0f297d3b28360c28b55c88cce8c3e8cc7185440440f35ff28db7b9d4ce9,631,429,image49.png,word/media/image49.png,_work/correction/extract/notebook_images/notebook_img_048_image49.png,"Enerji ihtiyacımızı sadece yenilebilir enerji kaynaklarından elde etmek istiyorsak, mutlaka depolayabilmemiz gerekir. Peki neden?","Grafiğe [25] baktığımızda; Talebi, günün bazı saatlerinde karşılayamıyoruz.","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_050,50,bb1850e3608dd4da3cc500410de2efb5efcffab603efe4212e0ee828dd93fa55,668,297,image50.jpeg,word/media/image50.jpeg,_work/correction/extract/notebook_images/notebook_img_050_image50.jpeg,"Bu bağlamda; notta yazılmış birkaç bilgiyi doğrudan alıntılayıp, bu bilgiler üzerine yorumlar yapmak istiyorum.","Olimpiyat madalyalı bir atlet; birkaç dakika boyunca, 400 Watts güç üretebilir.","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_051,51,07adaaa146430f370657a8fcff828e0576147e0ebe5c139b7feaa75bcbd1c015,382,384,image51.jpeg,word/media/image51.jpeg,_work/correction/extract/notebook_images/notebook_img_051_image51.jpeg,[27],Siemens Siship Sipod. [28] [29],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_052,52,143469079495076a3c31a53f959bc29cea69b5e39457a175935ad451372daf54,404,233,image52.jpg,word/media/image52.jpg,_work/correction/extract/notebook_images/notebook_img_052_image52.jpg,[27],Siemens Siship Sipod. [28] [29],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_053,53,f96b392c2a902deb6a8484ff32b7f957e5eabed56e7fffe1036c429805613d6c,442,242,image53.jpg,word/media/image53.jpg,_work/correction/extract/notebook_images/notebook_img_053_image53.jpg,[27],Siemens Siship Sipod. [28] [29],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_054,54,4a8b4b086351435950c50f1007ad2a7bef5d43c567939452983097a97c65b803,311,265,image54.jpeg,word/media/image54.jpeg,_work/correction/extract/notebook_images/notebook_img_054_image54.jpeg,[27],Siemens Siship Sipod. [28] [29],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_055,55,79472020470d02dde7573f33140849e229f5fd5a61775089f2cfa0358548d66f,301,473,image55.jpg,word/media/image55.jpg,_work/correction/extract/notebook_images/notebook_img_055_image55.jpg,"İmza, Kaşe","Kendi boy, kilo, yaş bilgilerini girdikten sonra Orta haraketlilik haftada 4-5 gün spor seçeneğinde = 2590 cal/gün kalori ihtiyacımın olduğunu hesapladım. [30]","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_056,56,384d29f7814b4b7d926b82cf51a80c22fffe7bbfd5a962918d6df3ea108c9a29,627,428,image56.jpeg,word/media/image56.jpeg,_work/correction/extract/notebook_images/notebook_img_056_image56.jpeg,Normal bir at için:,Kaynakta da görüldüğü gibi haftada 4-5 gün 1.5 saatlik hareketlilikle atın günlük kalori ihtiyacı 25000cal/gün. [31],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_057,57,c9ef1fe0998fac99dca75bef9d59c38148c39fe172014094f4834b3fdc4cf3df,839,116,image57.jpg,word/media/image57.jpg,_work/correction/extract/notebook_images/notebook_img_057_image57.jpg,Normal bir at için:,Kaynakta da görüldüğü gibi haftada 4-5 gün 1.5 saatlik hareketlilikle atın günlük kalori ihtiyacı 25000cal/gün. [31],"KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
nb_img_058,58,cf130a5c12e24a06e2af841ccadfde79d638bbc45344ff5b23b6b03279270c89,322,206,image58.png,word/media/image58.png,_work/correction/extract/notebook_images/notebook_img_058_image58.png,Oldukça şaşırmıştım cevaba.,"Anıl Bey’in anlatıklarından sonra zihnimde bu basit devre [32] canlandı ve bunun mantığını doğrulatmak amacıyla, şu soruyu sordum sordum kendisine:","KARABÜK ÜNİVERSİTESİ
MÜHENDİSLİK FAKÜLTESİ"
